[2025-05-22 20:24:02] [INFO    ] discord.client: logging in using static token
[2025-05-22 20:24:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-22 20:24:02] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-22 20:24:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1375060873558884442', 'username': 'VSCodeDcordPy', 'avatar': None, 'discriminator': '4045', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-22 20:24:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-22 20:24:02] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-22 20:24:02] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1375060873558884442', 'name': 'VSCodeDcordPy', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1375060873558884442', 'username': 'VSCodeDcordPy', 'avatar': None, 'discriminator': '4045', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '898a64d3e80774d7c32de939720b84822a932728cf235fe73bd04c7576e0c46c', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1229758229417033761', 'username': 'the_weird_cat.guy', 'avatar': 'bbdee78c709c50e33af6a592926cc428', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 2338118, 'global_name': 'The weird cat-guy', 'avatar_decoration_data': {'asset': 'a_44d96dca4f514777925f23d841f36fac', 'sku_id': '1349486948942745695', 'expires_at': None}, 'collectibles': None, 'banner_color': '#23ad46', 'clan': {'identity_guild_id': '1369544147593199656', 'identity_enabled': True, 'tag': 'nyan', 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'primary_guild': {'identity_guild_id': '1369544147593199656', 'identity_enabled': True, 'tag': 'nyan', 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-22 20:24:03] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1375060873558884442/guilds/1375062392433545236/commands with [{"name":"prefix","description":"Returns the bot prefix.","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"howmanycookies","description":"Returns how many cookies does a user have.","type":1,"options":[{"type":6,"name":"member","description":"The member you want to get the cookies of","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"click","description":"CLICK THE COOKIE","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-05-22 20:24:03] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-05-22 20:24:03] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1375060873558884442/guilds/1375062392433545236/commands has received [{'id': '1375122935592779836', 'application_id': '1375060873558884442', 'version': '1375122935592779837', 'default_member_permissions': None, 'type': 1, 'name': 'prefix', 'name_localizations': None, 'description': 'Returns the bot prefix.', 'description_localizations': None, 'guild_id': '1375062392433545236', 'nsfw': False}, {'id': '1375132924415971378', 'application_id': '1375060873558884442', 'version': '1375140361995026553', 'default_member_permissions': None, 'type': 1, 'name': 'howmanycookies', 'name_localizations': None, 'description': 'Returns how many cookies does a user have.', 'description_localizations': None, 'guild_id': '1375062392433545236', 'options': [{'type': 6, 'name': 'member', 'name_localizations': None, 'description': 'The member you want to get the cookies of', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1375156825925750996', 'application_id': '1375060873558884442', 'version': '1375156825925750997', 'default_member_permissions': None, 'type': 1, 'name': 'click', 'name_localizations': None, 'description': 'CLICK THE COOKIE', 'description_localizations': None, 'guild_id': '1375062392433545236', 'nsfw': False}]
[2025-05-22 20:24:03] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
