[2025-05-23 14:17:51] [INFO    ] discord.client: logging in using static token
[2025-05-23 14:17:52] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-23 14:17:52] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-23 14:17:52] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1375060873558884442', 'username': 'VSCodeDcordPy', 'avatar': None, 'discriminator': '4045', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-23 14:17:52] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-23 14:17:52] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-23 14:17:52] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1375060873558884442', 'name': 'VSCodeDcordPy', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1375060873558884442', 'username': 'VSCodeDcordPy', 'avatar': None, 'discriminator': '4045', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '898a64d3e80774d7c32de939720b84822a932728cf235fe73bd04c7576e0c46c', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1229758229417033761', 'username': 'the_weird_cat.guy', 'avatar': 'bbdee78c709c50e33af6a592926cc428', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 2338118, 'global_name': 'The weird cat-guy', 'avatar_decoration_data': {'asset': 'a_44d96dca4f514777925f23d841f36fac', 'sku_id': '1349486948942745695', 'expires_at': None}, 'collectibles': None, 'banner_color': '#23ad46', 'clan': {'identity_guild_id': '1369544147593199656', 'identity_enabled': True, 'tag': 'nyan', 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'primary_guild': {'identity_guild_id': '1369544147593199656', 'identity_enabled': True, 'tag': 'nyan', 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-23 14:17:52] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1375060873558884442/guilds/1375062392433545236/commands with [{"name":"test","description":"kokot","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-05-23 14:17:52] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-05-23 14:17:52] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1375060873558884442/guilds/1375062392433545236/commands has received [{'id': '1375443787274518528', 'application_id': '1375060873558884442', 'version': '1375443787274518529', 'default_member_permissions': None, 'type': 1, 'name': 'test', 'name_localizations': None, 'description': 'kokot', 'description_localizations': None, 'guild_id': '1375062392433545236', 'nsfw': False}]
[2025-05-23 14:17:52] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-23 14:17:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-qnpg",{"micros":0.0}]']}}
[2025-05-23 14:17:52] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-23 14:17:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-23 14:17:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'VSCodeDcordPy', 'primary_guild': None, 'mfa_enabled': True, 'id': '1375060873558884442', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4045', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '25b5481b82586f5947f298f0cb3e3a5f', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1375062392433545236'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['warsaw', 'frankfurt', 'frankfurt-two', 'milan', 'bucharest'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1375060873558884442', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-qnpg",{"micros":72157,"calls":["id_created",{"micros":495,"calls":[]},"session_lookup_time",{"micros":273,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-134",{"micros":71029,"calls":["start_session",{"micros":53884,"calls":["discord-api-rpc-6956975ddd-998vt",{"micros":44360,"calls":["get_user",{"micros":5575},"get_guilds",{"micros":6036},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1283},"apex_user_experiments",{"micros":4},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":49,"calls":[]},"presence_started",{"micros":14892,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":2124,"calls":[]},"connect_finished",{"micros":2126,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-23 14:17:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-23 14:17:52] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 25b5481b82586f5947f298f0cb3e3a5f).
